reef_ID,Grav_tot
0,7.26405268
1,7.727877151
2,8.80521615
3,13.30125039
4,18.91010451
5,22.26156047
6,14.21865024
7,8.547411437
8,22.84090616
9,50.78920612
10,103.6626008
11,101.0360095
12,30.96167134
13,11.48585401
14,39.06626778
15,579.246854
16,5378.950965
17,77.10829185
18,9.18194778
19,24.3294611
20,47.43909896
21,39.62715788
22,117.4027621
23,115.5208479
24,441.7353674
25,106.3885008
26,106.9297084
27,186.0590575
28,105.5689813
29,511.7508115
30,91.60157779
31,93.86509554
32,80.13369915
33,76.84285183
34,125.8164924
35,123.4176576
36,26.27262606
37,28.26404856
38,30.36184785
39,18486.31269
40,5083.648509
41,25.10379744
42,27.56567296
43,1985.638673
44,1834.307874
45,2501.433439
46,25.27391342
47,24.50119214
48,755.2418638
49,1971.060607
50,1183.149659
51,742.2698834
52,22.52952413
53,1026.033429
54,1086.796031
55,1145.144155
56,16.74338343
57,18.82622877
58,19.3965332
59,1499.98011
60,930.4148522
61,6811.396615
62,17.94400893
63,884.6052619
64,1170.188792
65,782.7796655
66,347.348911
67,721.9825959
68,332.0095613
69,386.375049
70,286.7147843
71,15.62191588
72,733.6422927
73,1055.771574
74,825.291995
75,318.222553
76,435.4726397
77,523.1764948
78,1270.284415
79,427.5354932
80,339.9946147
81,257.5669805
82,15.06965572
83,564.9826398
84,913.7996385
85,813.1953498
86,491.79115
87,390.0138141
88,554.5532997
89,17065.45166
90,238.1096018
91,120.3118989
92,117.7888669
93,899.9945539
94,681.5026189
95,334.4223286
96,326.1583477
97,338.8054471
98,6434.587995
99,11.19145762
100,860.1208444
101,613.6929985
102,604.195577
103,347.7756147
104,310.9158426
105,290.9361729
106,9.50057297
107,10.15268254
108,786.887405
109,697.216667
110,636.8839141
111,338.6411845
112,266.3359594
113,711.995838
114,578.5478748
115,408.2992385
116,215.0483716
117,414.1815634
118,4860.687434
119,629.4088366
120,612.6640377
121,880.3874529
122,296.2998214
123,300.6156542
124,262.8800541
125,190.420889
126,332.6179128
127,1307.738671
128,563.2313513
129,555.2510204
130,520.8123564
131,379.1571286
132,252.1133415
133,250.3776446
134,178.7195153
135,103.6401492
136,264.6125311
137,234.1833005
138,542.2854821
139,467.0078733
140,388.0274378
141,263.8053257
142,236.1945873
143,167.2968004
144,137.9444437
145,353.8005747
146,523.8985878
147,446.5475524
148,384.1381021
149,209.8064175
150,271.6523169
151,225.4311477
152,278.4122966
153,483.125229
154,505.9258829
155,447.176252
156,249.999396
157,278.4141442
158,212.0913088
159,37.1664561
160,20.32321373
161,20.23885515
162,0
163,0
164,588.2410156
165,500.3492113
166,425.1566957
167,249.3661429
168,251.9896082
169,263.3694455
170,172.7594621
171,363.8870575
172,22.13410633
173,63.79424175
174,128.4464085
175,545.9872025
176,42.29856513
177,28.73318148
178,13.82130759
179,12.80692072
180,0
181,0
182,488.1527548
183,499.3788965
184,393.6627363
185,407.5854559
186,288.9934965
187,231.091174
188,209.1215908
189,129.8029793
190,17.06079359
191,34.24968146
192,150.2466581
193,41.59492058
194,27.63539586
195,17.50863421
196,120.70732
197,40.72007203
198,0
199,0
200,0
201,458.0682625
202,538.262128
203,376.8089075
204,368.7352101
